

29/02/2024 14:46:41
Estação:SRVHOM01
Tipo:Produtos
Arquivo:C:\Users\Administrador.PLASSER\Documents\tecwin\teste\ImportandoTemp\intTecwin_2024-02-29.txt
Erro:
 29/02/2024 14:35- Inicio da importação do arquivo: C:\Users\Administrador.PLASSER\Documents\tecwin\teste\ImportandoTemp\intTecwin_2024-02-29.txt

Linha 6077: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 7912: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 13675: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 20894: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 25148: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 25772: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 25879: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 26229: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 27121: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 27329: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 27668: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 28037: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 28618: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 35931: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 38282: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 39130: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 60347: [Erro] A classificação atingiu o limite permitido pela máscara.
Linha 87658: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 91795: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 92177: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 92287: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 92815: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 93208: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 93397: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 94894: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 94902: [Erro] A classificação atingiu o limite permitido pela máscara.
Linha 95002: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 95227: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 129026: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 129116: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 129416: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 130173: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 142484: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 143710: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 144788: [Erro] Código Tributação IPI(Saída) '' inválido
Linha 144833: [Erro] Código Tributação IPI(Saída) '' inválido
